country,code,indicator,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Latvia,LVA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,10,9,9,9,10,12,13,13,12,11,10,9,9,9,9,
Lebanon,LBN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,16,17,18,18,18,18,18,18,18,17,17,17,17,18,18,18,18,18,
Lebanon,LBN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,17,17,17,17,16,15,15,15,15,16,16,16,17,
Lebanon,LBN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,15,15,15,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,18,18,
Lesotho,LSO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lesotho,LSO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lesotho,LSO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,15,15,15,15,15,15,15,15,15,15,15,15,16,16,
Liberia,LBR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liberia,LBR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liberia,LBR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Libya,LBY,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9, , , , , , , ,
Libya,LBY,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Libya,LBY,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10, , , , , , , ,
Liechtenstein,LIE,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Liechtenstein,LIE,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Liechtenstein,LIE,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Lithuania,LTU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,11,10,9,8,8,8,10,11,11,11,11,11,9,9,9,9,
Lithuania,LTU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,8,7,7,7,6,6,6,8,8,8,8,8,8,7,7,7,
Lithuania,LTU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,12,11,11,9,9,8,8,10,11,11,11,11,10,9,9,9,9,
Luxembourg,LUX,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Luxembourg,LUX,mdy, , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Luxembourg,LUX,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
"Macao SAR, China",MAC,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Macao SAR, China",MAC,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,
"Macao SAR, China",MAC,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,
"Macedonia, FYR",MKD,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,12,12,14,14,14,14,15,15,15,15,15,
"Macedonia, FYR",MKD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Macedonia, FYR",MKD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,13,13,13,13,13,13,13,13,13,13,14,14,
Madagascar,MDG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Madagascar,MDG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Madagascar,MDG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Malawi,MWI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Malawi,MWI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Malawi,MWI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Malaysia,MYS,sp, , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,7,7,7,8,12,11,11,11,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Malaysia,MYS,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,
Malaysia,MYS,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,
Maldives,MDV,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Maldives,MDV,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,
Maldives,MDV,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,
Mali,MLI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17, , , , , , , , , , ,
Mali,MLI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mali,MLI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,18, , , , , , , , , ,
Malta,MLT,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,9,9,
Malta,MLT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,7,7,7,7,7,7,6,5,5,5,6,7,7,7,7,7,7,
Malta,MLT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,8,8,8,7,
Marshall Islands,MHL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Marshall Islands,MHL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Marshall Islands,MHL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mauritania,MRT,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mauritania,MRT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mauritania,MRT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mauritius,MUS,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mauritius,MUS,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,
Mauritius,MUS,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mexico,MEX,sp, , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,14,14,14,14,14,13,13,12,12,12,11,11,10,10,11,11,11,11,10,10,10,10,10,
Mexico,MEX,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,8,8,8,7,7,7,7,
Mexico,MEX,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,14,14,13,13,12,12,12,11,11,10,10,11,11,11,11,10,10,10,10,10,
"Micronesia, Fed. Sts.",FSM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Micronesia, Fed. Sts.",FSM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
"Micronesia, Fed. Sts.",FSM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Moldova,MDA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Moldova,MDA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,16,16,17,18,21,18,18,18,18,18,18, ,17,17,17,17,17,17,17,17,
Moldova,MDA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,18,18,23,29,18,18,18,18,18,18, , , , , , , , , ,
Monaco,MCO,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Monaco,MCO,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Monaco,MCO,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Mongolia,MNG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,17,17,17,16,15,15,15,15,15,15,15,16,17,18,18,
Mongolia,MNG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,15,16,16,18,18,
Mongolia,MNG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,17,16,16,16,16,16,17,18,18,
Montenegro,MNE,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,13,13,13,14,14,15,15,16,16,16,16,
Montenegro,MNE,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,13,13,13,13,13,13,13,15,15,
Montenegro,MNE,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Morocco,MAR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,12,
Morocco,MAR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Morocco,MAR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,12,12,12,12,12,
Mozambique,MOZ,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,16,16,16,16,16,16,16,17,18,23, ,
Mozambique,MOZ,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,16,20,20,
Mozambique,MOZ,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,17,17,17,17,17,17,16,16,17, , ,
Myanmar,MMR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Myanmar,MMR,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Myanmar,MMR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Namibia,NAM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Namibia,NAM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,10,10,11,
Namibia,NAM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,12,12,12,12,12,12,12,13,
Nauru,NRU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nauru,NRU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nauru,NRU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nepal,NPL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nepal,NPL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nepal,NPL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Netherlands,NLD,sp, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,
Netherlands,NLD,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Netherlands,NLD,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
New Caledonia,NCL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
New Caledonia,NCL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
New Caledonia,NCL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
New Zealand,NZL,sp, , , , , , , , ,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,
New Zealand,NZL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
New Zealand,NZL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,
Nicaragua,NIC,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,
Nicaragua,NIC,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,18,18,18,18,18,18,18,17,17,17,17,17,16,16,16,
Nicaragua,NIC,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,
Niger,NER,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Niger,NER,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Niger,NER,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Nigeria,NGA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,16,16,16,15,15,15,16,17,17,
Nigeria,NGA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,15,16,
Nigeria,NGA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,15,15,16,16,
Northern Mariana Islands,MNP,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Northern Mariana Islands,MNP,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Northern Mariana Islands,MNP,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Norway,NOR,sp, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Norway,NOR,mdy, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Norway,NOR,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Oman,OMN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,12,12,12,12,11,11,11,10,10,9,8,8,8,8,8,8,8,8,10,12,14,
Oman,OMN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,8,7,6,6,6,5,5,5,5,5,5,8,9,
Oman,OMN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,
Pakistan,PAK,sp, , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,23,18,18,18,17,17,16,16,16,16,19,18,18,18,18,18,18,18,17,17,
Pakistan,PAK,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,17,16,16,16,15,15,17,17,17,17,18,18,18,17,17,17,
Pakistan,PAK,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,
Palau,PLW,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Palau,PLW,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Palau,PLW,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Panama,PAN,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,14,14,14,14,14,14,14,13,13,12,12,11,11,11,11,11,11,
Panama,PAN,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,11,11,10,10,9,9,9,9,9,9,
Panama,PAN,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,
Papua New Guinea,PNG,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,
Papua New Guinea,PNG,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,
Papua New Guinea,PNG,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,16,17,17,17,17,17,16,16, , , , , , , , ,
Paraguay,PRY,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,15,15,17,17,17,18, ,18,18,18,17,17,17,16,15,15,15,14,14,14,14,
Paraguay,PRY,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,16,16,18,18,18,18,18,17,17,15,15,15,13,12,11,11,11,
Paraguay,PRY,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,14,14,14,
Peru,PER,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,14,15,15,15,15,14,14,13,13,12,12,12,11,11,10,10,10,10,10,
Peru,PER,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10,10,10,10,13,13,13,13,13,12,11,10,10,10,9,9,7,7,7,7,
Peru,PER,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,14,15,15,15,14,14,13,13,12,12,12,11,11,10,10,10,10,10,
Philippines,PHL,sp, , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,14,14,13,13,13,13,13,13,14,14,15,15,15,15,15,14,14,13,12,11,11,11,11,
Philippines,PHL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,12,12,11,11,11,11,11,11,11,12,15,15,15,15,13,13,12,11,10,9,9,9,9,
Philippines,PHL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,12,12,12,11,
Poland,POL,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14,12,12,12,11,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,10,
Poland,POL,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Poland,POL,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,11,11,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,
Portugal,PRT,sp, , , , , , , , , , , , , , , , , , , , , , , , ,7,6,6,6,6,6,5,5,5,5,5,5,5,6,6,6,6,7,9,12,14,14,14,13,13,12,
Portugal,PRT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,5,12,13,13,11,11,11,11,
Portugal,PRT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , ,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7,13,13,13,13,13,13,11,
Puerto Rico,PRI,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Puerto Rico,PRI,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Puerto Rico,PRI,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Qatar,QAT,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11,11,11,11,11,10,9,7,7,7,7,6,6,6,5,5,5,5,5,5,5,6,
Qatar,QAT,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,7,7,7,5,4,3,3,3,3,3,3,3,3,3,3,4,
Qatar,QAT,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,6,
Romania,ROU,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,18,18,18,17,16,14,13,12,12,12,13,13,13,13,13,13,12,12,12,12,
Romania,ROU,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,15,13,13,11,10,10,10,10,10,10,10,10,10,10,10,10,
Romania,ROU,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,17,18,17,17,15,14,12,12,11,11,13,13,13,12,12,12,12,12,12,12,
Russian Federation,RUS,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15,15,21, ,18,16,14,14,13,11,10,10,11,11,11,11,11,11,12,13,13,13,
Russian Federation,RUS,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,12,10,10,9,9,9,8,8,8,8,8,8,9,11,11,11,
Russian Federation,RUS,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13,13,20,20,17,16,15,13,12,11,10,10,10,11,11,11,11,11,11,12,12,12,
Rwanda,RWA,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17,17,17,17,16,17,17,
Rwanda,RWA,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16,16,
Rwanda,RWA,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18,18,18,18,17,17,17,17,16,16,16,16,
Samoa,WSM,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Samoa,WSM,mdy, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
Samoa,WSM,fitch, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
San Marino,SMR,sp, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
